,n,Body Condition,,# (%) w/Mange,,# (%) w/Ticks,PDF_Year
Research Captures,2,2 (100%),,,0,0,2019
Mortalities,1,,,,0,,2019
Unit 5,,,,,,,2019
Research Captures,3,3 (100%),,,0,0,2019
Mortalities,9,,,,0,,2019
Unit 6,,,,,,,2019
Research Captures,2,2 (100%),,,0,1 (50%),2019
Mortalities,9,,,,0,,2019
STATEWIDE AVERAGES,,,,,,,2019
Research Captures,40,"33 (82%) 
4 (10%)",3 (8%),,0,23 (58%),2019
Mortalities,41,,,,0,,2019
T,,,,,,,2019
,,Wolf Management Unit,,State,% of,,2019
Cause of Death,,,,,,,2019
,1,"2 
3 
4 
5",6,Total,Total,,2019
Human Caused Mortality,,,,,,,2019
Agency Control,,,,0,,,2019
Vehicle Collision,4a,"4 
2a 
1 
3",4,18,44%,,2019
Illegally Killed,3c,"2a 
 
3a",2a,10,24%,,2019
Capture Related,,1,,1,2%,,2019
Unknown Human Caused,,,,0,,,2019
Total Human Caused,7,"6 
2 
1 
7",6,29,71%,,2019
Natural Mortality,,,,,,,2019
Disease / Injury,,2a,,2,5%,,2019
Intra-specific Aggression,,,,0,,,2019
Euthanized (non-control),,,,0,,,2019
Unknown Natural Causes,,,,0,,,2019
Total Natural Causes,0,"0 
0 
0 
2",0,2,5%,,2019
Unknown Causes,4d,"3b 
0 
0 
0",3,10,24%,,2019
Total Detected Mortality,11,"9 
2 
1 
9",9,41,,,2019
aIncludes 1 radio collared wolf,,,,,,,2019
bIncludes 2 radio collared wolves,,,,,,,2019
cIncludes 3 radio collared wolves,,,,,,,2019
,,,,,,,2019
1,,,,,,,2019
,,"Good 
Fair",Poor,,,,2020
Unit 1,,,,,,,2020
Research Captures,14,12 (86%),2 (14%),,0,9 (64%),2020
Mortalities,18,,,,0,,2020
Unit 2,,,,,,,2020
Research Captures,7,6 (86%),1 (14%),,0,5 (71%),2020
Mortalities,13,,,,0,,2020
Unit 3,,,,,,,2020
Research Captures,2,2 (100%),,,0,2 (100%),2020
Mortalities,5,,,,0,,2020
Unit 4,,,,,,,2020
Research Captures,0,,,,,,2020
Mortalities,3,,,,0,,2020
Unit 5,,,,,,,2020
Research Captures,2,2 (100%),,,0,2 (100%),2020
Mortalities,5,,,,0,,2020
Unit 6,,,,,,,2020
Research Captures,0,,,,,,2020
Mortalities,8,,,,0,,2020
STATEWIDE,,,,,,,2020
Research Captures,25,22 (88%),3 (12%),,0,18 (72%),2020
Mortalities,52,,,,0,,2020
T,,,,,,,2020
,,Wolf Management Unit,,State,% of,,2020
Cause of Death,,,,,,,2020
,1,"2 
3 
4 
5",6,Total,Total,,2020
Human Caused Mortality,,,,,,,2020
Agency Control,,1,,1,2%,,2020
Vehicle Collision,7,"6a 
1 
2 
1",4ae,21,40%,,2020
Illegally Killed,5d,"3c 
2a 
1 
3a",2,16,31%,,2020
Capture Related,,,,0,,,2020
Unknown Human Caused,,,,0,,,2020
Total Human Caused,12,"9 
4 
3 
4",6,38,73%,,2020
Natural Mortality,,,,,,,2020
Disease / Injury,1,,,1,2%,,2020
Intra-specific Aggression,2b,,,2,4%,,2020
Euthanized (non-control),,,,0,,,2020
Unknown Natural Causes,2b,,1,3,6%,,2020
Total Natural Causes,5,"0 
0 
0 
0",1,6,12%,,2020
Unknown Causes,1a,"4a 
1 
0 
1",1,8,15%,,2020
Total Detected Mortality,18,"13 
5 
3 
5",8,52,,,2020
aIncludes 1 radio collared wolf,,,,,,,2020
